wydajność	ilość_nawozu	kraj(1-Polska)
36.89	4.8	1
45.74	6.3	1
43.16	4.4	0
68.46	5.8	1
61.6	6.4	1
37.89	4.2	0
49.51	3.5	0
56.65	5.2	0
51.38	3	1
54.33	4.7	0
39.63	3.9	1
48.81	4.3	1
39.91	2.9	0
38.28	3.9	1
57.28	6.2	0
47.95	4.1	1
51.96	5.4	0
52.43	5.4	1
31.53	3.6	1
59.2	7.8	0
66.01	5.6	1
43.18	3	1
46.9	5.5	0
41.14	4.4	1
55.61	5.3	0
37.38	5.3	1
34.34	2.2	1
42.93	3.6	0
57.13	5.2	0
61.72	5.3	0
45.74	5	0
49.19	3.3	1
44.77	4.8	1
47.98	6	1
57.61	6.8	1
46.16	4	0
59.39	5.8	1
64.31	4.1	0
42.08	3.4	1
53.19	6.3	0
66.27	5.5	1
52.67	5.4	1
46.73	5.2	1
50.2	6.5	0
45.96	6.9	1
67.07	6.7	1
55.71	5.8	1
44.21	3.7	1
53.18	5.3	0
43.41	3.9	0
51.13	4.2	0
39.34	2.4	1
47.84	3	1
49.69	4.4	0
60.64	5.9	0
56.32	5.7	0
47.09	5.4	1
45.67	4.1	1
29.07	3.3	1
43.3	3.8	1
72.15	9.2	0
71.74	7.3	1
63.76	6.9	1
67.02	7.2	0
67.22	6.6	1
59.52	4.8	1
55.99	5.2	0
61.8	6.2	0
57.1	3.8	0
47.86	6.5	1
75.8	6.8	1
56.4	6.4	1
45.61	5.6	1
59.14	5.8	0
71.79	8	1
67.48	8.2	1
59.78	7.6	1
52.75	5.9	1
61.67	7.1	1
63.03	6.6	1
62.83	5	0
68.02	6.5	1
59.43	5.1	1
51.41	6.5	1
70.7	8.1	1
58.15	4.8	1
60.99	7.4	1
67.45	6.9	1
67.36	7.2	0
79.08	6.1	0
58.7	4.2	0
53.52	4.7	1
48.93	3.9	1
37.76	4	1
46.13	2.6	1
62.06	6.1	1
80.28	10.2	1
61.39	5.4	1
64.54	6.8	1
68.64	5.6	1
55.51	6.3	1
56.68	5.4	1
71.98	7.7	1
60.85	6.5	1
48.8	5.8	0
69.23	6.4	1
58.47	4.1	1
62.72	6.6	0
54.4	4.4	1
59	4.6	1
59.89	5.1	0
63.9	5.5	1
48.77	4.4	1
49.36	8.1	0
56.9	7.1	1
59.67	5.3	1
55.54	6	0
85.95	8.9	0
70.32	7.2	1
75.35	9.2	1
